ID;NOMBRE;TIPO_C;COMUNA;BARRIO;CATEGORIA;TIPOLOGIA;LONG;FECHA;LIM_COM;LIM_BARRIO
113;FREIRE, RAMON, CAP. GRAL.;CALLE;COMUNA 13;COLEGIALES;CICLOVIA;BIDIRECCIONAL;0,14598571639;2012;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
114;ESTADO DE ISRAEL AV.;AVENIDA;COMUNA 5;VILLA CRESPO;CICLOVIA;BIDIRECCIONAL;0,01810097629;2014;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
115;ALVAREZ, JULIAN;CALLE;COMUNA 14;PALERMO;CICLOVIA;BIDIRECCIONAL;1,70605410593;2013;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
116;GODOY CRUZ;CALLE;COMUNA 14;PALERMO;CICLOVIA;BIDIRECCIONAL;1,27176296564;2012;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
117;BORGES, JORGE LUIS;CALLE;COMUNA 14;PALERMO;CICLOVIA;BIDIRECCIONAL;1,15580429045;2012;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
118;BULLRICH, INT. AV.;AVENIDA;COMUNA 14;PALERMO;BICISENDA;BIDIRECCIONAL;0,83987999395;2012;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
119;CERVI├æO AV.;AVENIDA;COMUNA 14;PALERMO;CICLOVIA;BIDIRECCIONAL;0,28771390809;2012;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
120;MANSILLA, LUCIO NORBERTO, GRAL;CALLE;COMUNA 14;PALERMO;CICLOVIA;BIDIRECCIONAL;0,61621273741;2012;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
121;ROLDAN, BELISARIO AV.;AVENIDA;COMUNA 14;PALERMO;CICLOVIA;BIDIRECCIONAL;1,24125155134;2011;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
122;OLLEROS AV.;AVENIDA;COMUNA 14;PALERMO;CICLOVIA;BIDIRECCIONAL;0,15992761156;2013;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
123;ALSINA, VALENTIN AV.;AVENIDA;COMUNA 14;PALERMO;CICLOVIA;BIDIRECCIONAL;0,33428549613;2013;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
124;DE LOS OMBUES AV.;AVENIDA;COMUNA 14;PALERMO;BICISENDA;BIDIRECCIONAL;0,48605948750;2013;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
125;AUSTRIA;CALLE;COMUNA 2;RECOLETA;BICISENDA;BIDIRECCIONAL;0,19391018636;2010;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
126;WARNES;AVENIDA;COMUNA 15;VILLA CRESPO;CICLOVIA;BIDIRECCIONAL;0,01576961115;2016;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
127;GURRUCHAGA;CALLE;COMUNA 15;VILLA CRESPO;CICLOVIA;BIDIRECCIONAL;0,31114171731;2016;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
128;BLANCO ENCALADA;CALLE;COMUNA 13;BELGRANO;CICLOVIA;BIDIRECCIONAL;0,04460480299;2012;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
129;GOLFARINI, JUAN ANGEL DR.;CALLE;COMUNA 13;BELGRANO;CICLOVIA;BIDIRECCIONAL;0,12706557639;2012;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
130;OLAZABAL;CALLE;COMUNA 13;BELGRANO;CICLOVIA;BIDIRECCIONAL;0,03110637992;2012;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
131;MATHEU;CALLE;COMUNA 3;BALVANERA;CICLOVIA;BIDIRECCIONAL;0,12260898036;2014;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
132;NECOCHEA;CALLE;COMUNA 4;LA BOCA;CICLOVIA;BIDIRECCIONAL;0,09442990681;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
133;CABOTO;CALLE;COMUNA 4;LA BOCA;CICLOVIA;BIDIRECCIONAL;0,36089692827;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
134;PI Y MARGALL;CALLE;COMUNA 4;LA BOCA;CICLOVIA;BIDIRECCIONAL;0,06472192064;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
135;BLANES, JUAN MANUEL;CALLE;COMUNA 4;LA BOCA;CICLOVIA;BIDIRECCIONAL;0,52905865416;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
136;RODRIGUEZ, MARTIN;CALLE;COMUNA 4;LA BOCA;CICLOVIA;BIDIRECCIONAL;0,72200287947;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
137;D'ESPOSITO, ARNALDO;CALLE;COMUNA 4;LA BOCA;CICLOVIA;BIDIRECCIONAL;0,23708197661;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
138;GARCIA, TEODORO;CALLE;COMUNA 14;PALERMO;CICLOVIA;BIDIRECCIONAL;0,51389819085;2014;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
139;MOLDES;CALLE;COMUNA 13;COLEGIALES;CICLOVIA;BIDIRECCIONAL;0,68318645712;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
140;GUAYAQUIL;CALLE;COMUNA 6;CABALLITO;CICLOVIA;BIDIRECCIONAL;0,14710764834;2014;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
141;CHICLANA AV.;AVENIDA;COMUNA 3;SAN CRISTOBAL;CICLOVIA;BIDIRECCIONAL;0,05924672068;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
142;ZAVALETA;CALLE;COMUNA 4;PARQUE PATRICIOS;CICLOVIA;BIDIRECCIONAL;0,27301528527;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
143;BOLIVAR;CALLE;COMUNA 4;BARRACAS;CICLOVIA;BIDIRECCIONAL;0,01881110001;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
144;SAMPERIO, MANUEL J.;CALLE;COMUNA 4;BARRACAS;BICISENDA;BIDIRECCIONAL;0,14448360546;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
145;COMPLEJO CIUDAD UNIVERSITARIA (SIN NOMBRE OFICIAL);SENDERO;COMUNA 13;BELGRANO;BICISENDA;BIDIRECCIONAL;1,15400360221;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
146;CUCHA CUCHA;CALLE;COMUNA 15;LA PATERNAL;CICLOVIA;BIDIRECCIONAL;0,29593932017;2016;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
147;POLA;CALLE;COMUNA 9;MATADEROS;CICLOVIA;BIDIRECCIONAL;1,73398333361;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
148;MARTINEZ CASTRO;CALLE;COMUNA 9;PARQUE AVELLANEDA;CICLOVIA;BIDIRECCIONAL;1,29310194857;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
149;PRIMERA JUNTA;CALLE;COMUNA 7;FLORES;CICLOVIA;BIDIRECCIONAL;0,69282593292;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
