ID;NOMBRE;TIPO_C;COMUNA;BARRIO;CATEGORIA;TIPOLOGIA;LONG;FECHA;LIM_COM;LIM_BARRIO
192;TAMBOR DE TACUARI;CALLE;COMUNA 13;NU├æEZ;BICISENDA;BIDIRECCIONAL;0,85068826548;2021;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
193;SARMIENTO AV.;AVENIDA;COMUNA 14;PALERMO;BICISENDA;BIDIRECCIONAL;0,51223417328;2016;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
194;AV. SARMIENTO;AVENIDA;COMUNA 14;PALERMO;BICISENDA;BIDIRECCIONAL;0,76953539162;2010;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
195;ESTRADA;CALLE;COMUNA 7;PARQUE CHACABUCO;CICLOVIA;BIDIRECCIONAL;0,65582759078;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
196;MAIPU AV.;AVENIDA;COMUNA 1;RETIRO;BICISENDA;BIDIRECCIONAL;0,22635554921;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
197;AZOPARDO;CALLE;COMUNA 1;SAN TELMO;CICLOVIA;BIDIRECCIONAL;0,27773470215;2010;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
198;ADOLFO ALSINA;CALLE;COMUNA 1;MONSERRAT;CICLOVIA;UNIDIRECCIONAL;1,69314401767;2011;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
199;DOBLAS;CALLE;COMUNA 6;CABALLITO;CICLOVIA;UNIDIRECCIONAL;0,12375905815;2014;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
200;DOBLAS;CALLE;COMUNA 6;CABALLITO;CICLOVIA;UNIDIRECCIONAL;0,14079439119;2014;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
201;ESTADO PLURINACIONAL DE BOLIVIA;CALLE;COMUNA 15;AGRONOMIA;CICLOVIA;BIDIRECCIONAL;0,60012301699;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
202;PAVON;CALLE;COMUNA 3;SAN CRISTOBAL;CICLOVIA;BIDIRECCIONAL;0,61717442990;2018;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
203;OLAGUER Y FELIU, VIRREY;CALLE;COMUNA 13;COLEGIALES;CICLOVIA;BIDIRECCIONAL;0,09377362310;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
204;PEDRAZA, MANUELA;CALLE;COMUNA 12;VILLA URQUIZA;CICLOVIA;BIDIRECCIONAL;1,89285531431;2018;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
205;TRONADOR;CALLE;COMUNA 12;COGHLAN;CICLOVIA;BIDIRECCIONAL;0,27351576867;2018;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
206;IBERA;CALLE;COMUNA 12;COGHLAN;CICLOVIA;BIDIRECCIONAL;0,61711943364;2018;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
207;LUGONES;CALLE;COMUNA 12;VILLA URQUIZA;CICLOVIA;BIDIRECCIONAL;0,72981614345;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
208;RIGLOS;CALLE;COMUNA 6;CABALLITO;CICLOVIA;BIDIRECCIONAL;0,41836927711;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
209;DEL BARCO CENTENERA;CALLE;COMUNA 7;PARQUE CHACABUCO;CICLOVIA;BIDIRECCIONAL;0,31379163301;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
210;PICHEUTA;CALLE;COMUNA 7;PARQUE CHACABUCO;CICLOVIA;BIDIRECCIONAL;0,58210298108;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
211;TUCUMAN;CALLE;COMUNA 1;SAN NICOLAS;CICLOVIA;BIDIRECCIONAL;0,13147683447;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
212;SANTIAGO DEL ESTERO;CALLE;COMUNA 1;CONSTITUCION;CICLOVIA;BIDIRECCIONAL;0,13811599800;2012;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
213;PATRON;CALLE;COMUNA 9;LINIERS;CICLOVIA;BIDIRECCIONAL;1,98666471946;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
214;ESTRADA;CALLE;COMUNA 7;PARQUE CHACABUCO;CICLOVIA;BIDIRECCIONAL;0,54185338311;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
215;HUMBOLDT;CALLE;COMUNA 14;PALERMO;CICLOVIA;BIDIRECCIONAL;0,27373919646;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
216;ACHAVAL;CALLE;COMUNA 6;CABALLITO;CICLOVIA;BIDIRECCIONAL;0,14229196468;2011;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
217;SENDERO PARQUE CHACABUCO (NO OFICIAL);SENDERO;COMUNA 7;PARQUE CHACABUCO;BICISENDA;BIDIRECCIONAL;0,41488937335;2020;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
218;QUITO;CALLE;COMUNA 5;ALMAGRO;CICLOVIA;BIDIRECCIONAL;0,40258666017;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
219;BARRIO 31 (NO OFICIAL);CALLE;COMUNA 1;RETIRO;CICLOVIA;BIDIRECCIONAL;0,55652573852;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
220;MOREAU DE JUSTO, ALICIA. AV.;AVENIDA;COMUNA 1;PUERTO MADERO;BICISENDA;BIDIRECCIONAL;2,19281611825;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
221;DON PEDRO DE MENDOZA. AV.;AVENIDA;COMUNA 4;LA BOCA;BICISENDA;BIDIRECCIONAL;0,45952814501;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
222;CALZADA CIRCULAR PLAZA ITALIA;AVENIDA;COMUNA 14;PALERMO;BICISENDA;BIDIRECCIONAL;0,17857284183;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
223;PUENTE CIUDAD UNIVERSITARIA;PUENTE;COMUNA 13;BELGRANO;BICISENDA;BIDIRECCIONAL;0,24782577251;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
224;CAMINO DE SIRGA;CALLE;COMUNA 4;POMPEYA;CICLOVIA;BIDIRECCIONAL;0,60661946199;2012;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
225;PUEYRREDON AV.;AVENIDA;COMUNA 2;RECOLETA;BICISENDA;BIDIRECCIONAL;0,17047282847;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
226;DIAZ, CESAR, GRAL.;CALLE;COMUNA 11;VILLA SANTA RITA;CICLOVIA;BIDIRECCIONAL;0,41931375476;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
227;MONTEVIDEO;CALLE;COMUNA 1;RETIRO;CICLOVIA;BIDIRECCIONAL;0,57994271660;2011;COMUNA 1/COMUNA 2;RETIRO/RECOLETA
228;RAMOS MEJ├ìA, JOSE MAR├ìA, DR AV.;AVENIDA;COMUNA 1;RETIRO;BICISENDA;BIDIRECCIONAL;0,23412501731;2010;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
229;GILARDI, GILARDO;CALLE;COMUNA 1;RETIRO;BICISENDA;BIDIRECCIONAL;0,19216471612;2010;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
230;SAN MART├ìN;CALLE;COMUNA 1;RETIRO;BICISENDA;BIDIRECCIONAL;0,21087819704;2010;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
231;DEL LIBERTADOR AV.;AVENIDA;COMUNA 1;RETIRO;BICISENDA;BIDIRECCIONAL;0,16321685067;2010;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
232;PERETTE, CARLOS H.;CALLE;COMUNA 1;RETIRO;CICLOVIA;BIDIRECCIONAL;0,38253899389;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
233;SIN NOMBRE OFICIAL (VILLA 31);CALLE;COMUNA 1;RETIRO;BICISENDA;BIDIRECCIONAL;0,29900740924;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
234;ARENALES;CALLE;COMUNA 1;RETIRO;CICLOVIA;BIDIRECCIONAL;0,55871167284;2014;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
235;ALVEAR, MARCELO T. DE;CALLE;COMUNA 1;RETIRO;CICLOVIA;BIDIRECCIONAL;1,36594536024;2014;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
236;SAN MART├ìN;CALLE;COMUNA 1;SAN NICOLAS;CICLOVIA;BIDIRECCIONAL;1,03524165972;2014;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
237;TUCUMAN;CALLE;COMUNA 1;SAN NICOLAS;CICLOVIA;BIDIRECCIONAL;0,54299481499;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
238;MONTEVIDEO;CALLE;COMUNA 2;RECOLETA;CICLOVIA;BIDIRECCIONAL;0,25874027330;2011;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
239;MONTEVIDEO;CALLE;COMUNA 2;RECOLETA;CICLOVIA;BIDIRECCIONAL;0,24925654186;2014;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
240;VILLAFLOR, AZUCENA;CALLE;COMUNA 1;PUERTO MADERO;BICISENDA;BIDIRECCIONAL;0,07701773737;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
241;AZOPARDO;CALLE;COMUNA 4;LA BOCA;CICLOVIA;BIDIRECCIONAL;0,16727771972;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
242;PASEO COLON AV.;AVENIDA;COMUNA 1;SAN TELMO;BICISENDA;BIDIRECCIONAL;0,21599052077;2010;COMUNA 1/COMUNA 4;SAN TELMO/LA BOCA
243;PERON, JUAN DOMINGO, TTE, GRAL.;CALLE;COMUNA 3;BALVANERA;CICLOVIA;UNIDIRECCIONAL;1,16301130101;2011;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
244;CHILE;CALLE;COMUNA 3;BALVANERA;CICLOVIA;BIDIRECCIONAL;0,77875629254;2014;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
245;CALVO, CARLOS;CALLE;COMUNA 1;CONSTITUCION;CICLOVIA;BIDIRECCIONAL;1,05320180671;2010;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
246;CALVO, CARLOS;CALLE;COMUNA 3;SAN CRISTOBAL;CICLOVIA;BIDIRECCIONAL;0,14261069280;2010;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
247;BRASIL;AVENIDA;COMUNA 1;SAN TELMO;CICLOVIA;BIDIRECCIONAL;0,13640048320;2010;COMUNA 1/COMUNA 4;SAN TELMO/LA BOCA
248;SAN JUAN AV.;AVENIDA;COMUNA 3;SAN CRISTOBAL;CICLOVIA;BIDIRECCIONAL;0,03872622076;2010;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
249;ITUZAINGO;CALLE;COMUNA 4;BARRACAS;CICLOVIA;BIDIRECCIONAL;0,07919314519;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
250;DEL LIBERTADOR AV.;AVENIDA;COMUNA 1;RETIRO;BICISENDA;BIDIRECCIONAL;0,48893696143;2010;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
251;DEL LIBERTADOR AV.;AVENIDA;COMUNA 2;RECOLETA;BICISENDA;BIDIRECCIONAL;0,21987067471;2010;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
252;FIGUEROA  ALCORTA, PRES. AV.;AVENIDA;COMUNA 2;RECOLETA;BICISENDA;BIDIRECCIONAL;1,07884635297;2010;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
253;DEL LIBERTADOR AV.;AVENIDA;COMUNA 2;RECOLETA;BICISENDA;BIDIRECCIONAL;0,20103115760;2010;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
254;SENDERO PEATONAL PUEYRREDON;SENDERO;COMUNA 2;RECOLETA;BICISENDA;BIDIRECCIONAL;0,12758681475;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
255;DIAZ, CNEL. AV.;AVENIDA;COMUNA 14;PALERMO;CICLOVIA;BIDIRECCIONAL;0,35537497464;2012;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
256;ECUADOR;CALLE;COMUNA 3;BALVANERA;CICLOVIA;BIDIRECCIONAL;0,71976135973;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
257;BILLINGHURST;CALLE;COMUNA 2;RECOLETA;CICLOVIA;BIDIRECCIONAL;0,60851095157;2011;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
258;GORRITI;CALLE;COMUNA 2;RECOLETA;CICLOVIA;BIDIRECCIONAL;0,11191978961;2010;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
259;CHARCAS;CALLE;COMUNA 2;RECOLETA;CICLOVIA;BIDIRECCIONAL;0,14043911743;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
260;TUCUMAN;CALLE;COMUNA 5;ALMAGRO;CICLOVIA;BIDIRECCIONAL;0,25362262078;2018;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
261;URIBURU JOSE E, PRES.;CALLE;COMUNA 2;RECOLETA;CICLOVIA;BIDIRECCIONAL;0,48213931858;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
262;PERON, JUAN DOMINGO, TTE, GRAL.;CALLE;COMUNA 5;ALMAGRO;CICLOVIA;BIDIRECCIONAL;0,43444468191;2010;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
263;RINCON;CALLE;COMUNA 3;SAN CRISTOBAL;CICLOVIA;BIDIRECCIONAL;0,52435880041;2010;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
264;MEXICO;CALLE;COMUNA 3;BALVANERA;CICLOVIA;BIDIRECCIONAL;0,22814642212;2014;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
265;DEAN FUNES;CALLE;COMUNA 4;PARQUE PATRICIOS;CICLOVIA;BIDIRECCIONAL;0,85149855851;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
266;PAVON;CALLE;COMUNA 5;BOEDO;CICLOVIA;BIDIRECCIONAL;0,11829779632;2018;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
267;RONDEAU;CALLE;COMUNA 5;BOEDO;CICLOVIA;BIDIRECCIONAL;0,08992309442;2010;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
268;FAVALORO, RENE DR.;CALLE;COMUNA 4;PARQUE PATRICIOS;BICISENDA;BIDIRECCIONAL;0,35108487936;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
269;RABANAL, FRANCISCO, INTENDENTE AV.;AVENIDA;COMUNA 4;POMPEYA;BICISENDA;BIDIRECCIONAL;0,52684359590;2013;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
270;VEDIA, AGUSTIN DE;CALLE;COMUNA 4;POMPEYA;BICISENDA;BIDIRECCIONAL;0,05338231581;2013;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
271;USPALLATA;CALLE;COMUNA 4;PARQUE PATRICIOS;CICLOVIA;BIDIRECCIONAL;0,27353527346;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
272;FINOCHIETTO ENRIQUE DR.;CALLE;COMUNA 4;BARRACAS;CICLOVIA;BIDIRECCIONAL;0,13875456274;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
273;USPALLATA;CALLE;COMUNA 4;BARRACAS;CICLOVIA;BIDIRECCIONAL;0,12259710267;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
274;DEFENSA;CALLE;COMUNA 1;SAN TELMO;CICLOVIA;BIDIRECCIONAL;0,02933131715;2015;COMUNA 1/COMUNA 4;SAN TELMO/LA BOCA
275;GARCIA, MARTIN AV.;AVENIDA;COMUNA 1;SAN TELMO;BICISENDA;BIDIRECCIONAL;0,19105450208;2010;COMUNA 1/COMUNA 4;SAN TELMO/LA BOCA
276;CABOTO;CALLE;COMUNA 4;LA BOCA;CICLOVIA;BIDIRECCIONAL;0,29089583726;2016;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
277;ACU├æA DE FIGUEROA, FRANSISCO;CALLE;COMUNA 14;PALERMO;CICLOVIA;BIDIRECCIONAL;0,86207815198;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
278;HUMAHUACA;CALLE;COMUNA 3;BALVANERA;CICLOVIA;BIDIRECCIONAL;0,13041525883;2014;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
279;TREINTA Y TRES ORIENTALES;CALLE;COMUNA 5;ALMAGRO;CICLOVIA;BIDIRECCIONAL;0,85744499572;2014;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
280;MEXICO;CALLE;COMUNA 5;ALMAGRO;CICLOVIA;BIDIRECCIONAL;0,12262519005;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
281;CALVO, CARLOS;CALLE;COMUNA 5;BOEDO;CICLOVIA;BIDIRECCIONAL;0,13220799072;2010;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
282;CALVO, CARLOS;CALLE;COMUNA 3;SAN CRISTOBAL;CICLOVIA;BIDIRECCIONAL;0,02750326587;2010;COMUNA 3/COMUNA 5;SAN CRISTOBAL/BOEDO
283;ZA├æARTU;CALLE;COMUNA 7;PARQUE CHACABUCO;CICLOVIA;BIDIRECCIONAL;0,79221697672;2011;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
284;BRAVARD;CALLE;COMUNA 6;CABALLITO;CICLOVIA;BIDIRECCIONAL;0,02480981594;2013;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
285;CHACO;CALLE;COMUNA 6;CABALLITO;CICLOVIA;BIDIRECCIONAL;0,13034733235;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
286;RIGLOS;CALLE;COMUNA 7;PARQUE CHACABUCO;CICLOVIA;BIDIRECCIONAL;0,38952687478;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
287;JOSE BONIFACIO;CALLE;COMUNA 6;CABALLITO;CICLOVIA;BIDIRECCIONAL;0,20895485662;2011;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
288;ACHAVAL;CALLE;COMUNA 7;PARQUE CHACABUCO;CICLOVIA;BIDIRECCIONAL;0,06204484586;2011;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
289;PUAN;CALLE;COMUNA 6;CABALLITO;CICLOVIA;BIDIRECCIONAL;0,26011929965;2011;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
290;CORONEL RAMON L. FALCON;CALLE;COMUNA 6;CABALLITO;CICLOVIA;BIDIRECCIONAL;0,05012118311;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
291;CHIRIMAY;CALLE;COMUNA 6;CABALLITO;CICLOVIA;BIDIRECCIONAL;0,10808024840;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
292;FRAGATA PRES. SARMIENTO;CALLE;COMUNA 6;CABALLITO;CICLOVIA;BIDIRECCIONAL;0,13884752618;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
293;YERBAL;CALLE;COMUNA 6;CABALLITO;CICLOVIA;BIDIRECCIONAL;0,12101584009;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
294;PUENTE CABALLITO;PUENTE;COMUNA 6;CABALLITO;CICLOVIA;BIDIRECCIONAL;0,46895211569;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
295;TRES ARROYOS;CALLE;COMUNA 6;CABALLITO;CICLOVIA;BIDIRECCIONAL;0,41262666168;2015;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
296;TRES ARROYOS;CALLE;COMUNA 11;VILLA GENERAL MITRE;CICLOVIA;BIDIRECCIONAL;0,44663799390;2016;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
297;GAONA AV.;AVENIDA;COMUNA 7;FLORES;CICLOVIA;BIDIRECCIONAL;0,03038052218;2020;COMUNA 7/COMUNA 11;FLORES/VILLA GENERAL MITRE
298;PRIMERA JUNTA;CALLE;COMUNA 9;PARQUE AVELLANEDA;CICLOVIA;BIDIRECCIONAL;0,38726688106;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
